,0,1,2,3
0,2024-03-25,-126.07,WATER EPAYS REOC DWU WEB    000100184985    WEB ID: 3756000508,Chase Bills
1,2024-02-26,-163.61,WATER EPAYS REOC DWU WEB    000100184985    WEB ID: 3756000508,Chase Bills
2,2024-01-24,-146.91,WATER EPAYS REOC DWU WEB    000100184985    WEB ID: 3756000508,Chase Bills
3,2023-12-21,-140.66,WATER EPAYS REOC DWU WEB    000100184985    WEB ID: 3756000508,Chase Bills
4,2023-11-16,-137.78,WATER EPAYS REOC DWU WEB    000100184985    WEB ID: 3756000508,Chase Bills
5,2023-10-17,-110.5,WATER EPAYS REOC DWU WEB    000100184985    WEB ID: 3756000508,Chase Bills
6,2023-09-21,-123.5,WATER EPAYS REOC DWU WEB    000100184985    WEB ID: 3756000508,Chase Bills
7,2023-08-22,-125.5,WATER EPAYS REOC DWU WEB    000100184985    WEB ID: 3756000508,Chase Bills
8,2023-07-21,-130.1,WATER EPAYS REOC DWU WEB    000100184985    WEB ID: 3756000508,Chase Bills
9,2023-06-21,-103.5,WATER EPAYS REOC DWU WEB    000100184985    WEB ID: 3756000508,Chase Bills
